z,x,y,z,y,TRUTH,,,
-146.5049,19.4375,43.2957,2,3,5,,,
-146.5109,19.4538,43.3294,2,3,5,,,
-146.5185,19.4546,43.3511,2,3,5,,,
-146.5086,19.4558,43.3846,2,3,5,,,
-146.4908,19.4711,43.4089,2,3,5,,,
-146.4768,19.4595,43.409,2,3,5,,,
-146.4961,19.4518,43.4212,2,3,5,,,
-146.4949,19.4729,43.4411,2,3,5,,,
-146.5016,19.4781,43.4593,2,3,5,,,
-146.5236,19.4803,43.4779,2,3,5,,,
-146.5364,19.4579,43.4936,2,3,5,,,
-146.5731,19.441,43.4996,2,3,5,,,
-146.5984,19.4086,43.5093,2,3,5,,,
-146.6423,19.3735,43.5251,2,3,5,,,
-146.6797,19.3569,43.5321,2,3,5,,,
-146.7011,19.3384,43.5366,2,3,5,,,
-146.7145,19.3196,43.5442,2,3,5,,,
-146.733,19.2997,43.5483,2,3,5,,,
-146.7382,19.2819,43.5482,2,3,5,,,
-146.7651,19.2584,43.5435,2,3,5,,,
-146.7757,19.231,43.5369,2,3,5,,,
-146.7909,19.2533,43.573,2,4,5,,,
-146.8326,19.2461,43.5972,2,4,5,,,
-146.8522,19.2241,43.6181,2,4,5,,,
-146.8719,19.2134,43.6303,1,4,5,,,
-146.8796,19.1731,43.6395,1,4,5,,,
-146.8762,19.1181,43.658,1,4,5,,,
-146.8518,19.0652,43.6541,2,4,5,,,
-146.8504,19.014,43.6696,2,4,5,,,
-146.8585,18.9489,43.6706,1,4,5,,,
-146.8538,18.9045,43.6612,2,4,5,,,
-146.8545,18.8863,43.6563,1,4,5,,,
-146.8707,18.8686,43.6609,1,4,5,,,
-146.8699,18.8533,43.6489,1,4,5,,,
-146.9065,18.8212,43.6427,1,4,5,,,
-146.9417,18.8009,43.6584,1,4,5,,,
-146.9535,18.8078,43.6698,1,4,5,,,
-146.9693,18.7946,43.6969,1,4,5,,,
-146.9719,18.7988,43.7174,1,4,5,,,
-147,18.8367,43.7426,1,4,5,,,
-147.0352,18.8463,43.7894,1,4,5,,,
-147.09,18.8961,43.8158,1,4,5,,,
-147.1549,18.8952,43.8304,1,4,5,,,
-147.1774,18.9562,43.8597,1,4,5,,,
-147.2422,18.9986,43.8871,1,4,5,,,
-147.2845,19.0185,43.9055,1,4,5,,,
-147.3087,19.0124,43.9337,1,4,5,,,
-147.3578,19.052,43.9379,1,4,5,,,
-147.4215,19.1083,43.9461,1,4,5,,,
-147.5169,19.0876,43.9748,1,4,5,,,
-147.5835,19.1089,43.9898,1,4,5,,,
-147.6369,19.1647,44.0189,1,4,5,,,
-147.7125,19.1953,44.0347,1,4,5,,,
-147.7625,19.2138,44.0224,1,4,5,,,
-147.8466,19.2219,44.0076,1,4,5,,,
-147.929,19.2338,44.0064,1,4,5,,,
-147.9963,19.2044,43.9502,1,4,5,,,
-148.027,19.1839,43.888,1,4,5,,,
-148.0836,19.1889,43.8442,1,4,5,,,
-148.1029,19.2294,43.8169,1,4,5,,,
-148.1064,19.2325,43.7979,1,4,5,,,
-148.0206,19.2983,43.7535,1,4,5,,,
-148,19.3556,43.7284,1,4,5,,,
-147.9386,19.385,43.697,1,4,5,,,
-147.9413,19.3723,43.6712,1,4,5,,,
-147.9375,19.3639,43.6273,1,4,5,,,
-147.9631,19.32,43.561,1,4,5,,,
-147.9678,19.2928,43.4945,1,3,5,,,
-148.0001,19.2556,43.4423,1,3,5,,,
-148.0286,19.2344,43.4008,1,3,5,,,
-148.0456,19.2422,43.4016,1,3,5,,,
-148.0425,19.2609,43.3709,1,3,5,,,
-148.0935,19.2511,43.3758,1,3,5,,,
-148.1016,19.2433,43.3688,1,3,5,,,
-148.1125,19.2391,43.3663,1,3,5,,,
-148.152,19.2255,43.3721,1,3,5,,,
-148.1759,19.1888,43.3727,1,3,5,,,
-148.1718,19.1438,43.3821,1,3,5,,,
-148.1805,19.1649,43.4171,1,3,5,,,
-148.1582,19.1847,43.4549,1,3,5,,,
-148.1141,19.1974,43.4806,1,3,5,,,
-148.0958,19.1854,43.5048,1,3,5,,,
-148.1008,19.1751,43.5008,1,3,5,,,
-148.0432,19.1203,43.4753,1,3,5,,,
-148.0297,19.0496,43.4537,1,3,5,,,
-148.0204,19.0139,43.4451,1,3,5,,,
-148.0649,19.0213,43.4747,1,3,5,,,
-148.0974,19.0933,43.5004,1,3,5,,,
-148.1323,19.1289,43.5427,1,3,5,,,
-148.1763,19.1961,43.5693,1,4,5,,,
-148.2142,19.2138,43.5571,1,4,5,,,
-148.2612,19.2376,43.5524,1,3,5,,,
-148.2929,19.2502,43.5441,1,3,5,,,
-148.3098,19.2959,43.5562,1,4,5,,,
-148.3163,19.3487,43.5776,1,4,5,,,
-148.3301,19.3919,43.5843,1,4,5,,,
-148.3458,19.4011,43.5476,1,3,5,,,
-148.3532,19.4933,43.5512,1,3,5,,,
-148.3432,19.585,43.5637,1,4,5,,,
-148.365,19.696,43.5327,1,3,5,,,
-148.407,19.7559,43.5096,1,3,5,,,
-148.4698,19.8689,43.4886,1,3,5,,,
-148.4905,19.9638,43.4571,1,3,5,,,
-148.5084,19.9885,43.4027,1,3,5,,,
-148.533,19.9694,43.346,1,3,5,,,
-148.5493,19.9558,43.2894,1,3,5,,,
-148.5693,20.0271,43.2788,1,3,5,,,
-148.657,20.0689,43.2802,1,3,5,,,
-148.665,20.1213,43.2686,1,3,5,,,
-148.6375,20.216,43.255,1,3,5,,,
-148.6228,20.2756,43.2674,1,3,5,,,
-148.5919,20.3603,43.276,1,3,5,,,
-148.5965,20.4484,43.2726,1,3,5,,,
-148.6345,20.579,43.2815,1,3,5,,,
-148.6157,20.6606,43.3114,1,3,5,,,
-148.5876,20.7682,43.3287,1,3,5,,,
-148.529,20.9114,43.3544,1,3,5,,,
-148.4981,21.0132,43.3719,1,3,5,,,
-148.489,21.1133,43.3751,1,3,5,,,
-148.4926,21.2447,43.3832,1,3,5,,,
-148.4833,21.362,43.3606,1,3,5,,,
-148.4682,21.4439,43.356,1,3,5,,,
-148.4845,21.5668,43.3461,1,3,5,,,
-148.5529,21.5951,43.3204,1,3,5,,,
-148.5907,21.6878,43.301,1,3,5,,,
-148.5621,21.7931,43.2599,1,3,5,,,
-148.5279,21.8942,43.2459,1,3,5,,,
-148.4601,22.0547,43.1984,1,3,5,,,
-148.3539,22.1894,43.1326,1,3,5,,,
-148.3572,22.2729,43.0701,1,2,5,,,
-148.4749,22.319,43.0292,1,2,5,,,
-148.639,22.2932,43.0056,1,2,5,,,
-148.8384,22.1951,42.9783,1,2,5,,,
-149.0766,22.0979,42.9677,1,2,5,,,
-149.2121,22.0411,42.9612,1,2,5,,,
-149.3326,22.0236,42.9617,1,2,5,,,
-149.4204,21.9993,42.9487,1,2,5,,,
-149.4033,21.973,42.9077,1,2,5,,,
-149.3777,21.9543,42.8585,1,2,5,,,
-149.294,21.9499,42.8095,1,2,5,,,
-149.259,21.8944,42.7469,1,2,5,,,
-149.2406,21.8664,42.7007,1,2,5,,,
-149.2162,21.9007,42.6797,1,2,5,,,
-149.2182,21.8956,42.6322,1,2,5,,,
-149.2026,21.9199,42.5738,1,2,5,,,
-149.2072,21.9255,42.5412,1,2,5,,,
-149.2185,21.929,42.5204,1,2,5,,,
-149.2386,21.9614,42.5218,1,2,5,,,
-149.2872,21.9855,42.5092,1,2,5,,,
-149.3148,21.9714,42.5059,1,2,5,,,
-149.3367,21.9895,42.5106,1,2,5,,,
-149.3687,21.9871,42.5004,1,2,5,,,
-149.4255,21.9776,42.4914,1,2,5,,,
-149.4828,21.9329,42.4988,1,2,5,,,
-149.4628,21.9571,42.5139,1,2,5,,,
-149.4854,21.9814,42.5045,1,2,5,,,
-149.5117,21.9568,42.5174,1,2,5,,,
-149.535,21.9635,42.5131,1,2,5,,,
-149.5403,21.9841,42.5027,1,2,5,,,
-149.525,21.9681,42.4995,1,2,5,,,
-149.5234,21.9579,42.4697,1,2,5,,,
-149.5386,21.9383,42.4502,1,2,5,,,
-149.5558,21.9706,42.4211,1,2,5,,,
-149.5629,21.9697,42.4141,1,2,5,,,
-149.5878,21.9599,42.399,1,2,5,,,
-149.5836,21.9914,42.3948,1,2,5,,,
-149.5711,21.9763,42.391,1,2,5,,,
-149.5118,21.9611,42.3802,1,2,5,,,
-149.4401,21.9303,42.3412,1,2,5,,,
-149.3393,21.9498,42.2875,1,2,5,,,
-149.2739,21.9651,42.2539,1,2,5,,,
-149.2464,21.9563,42.2574,1,2,5,,,
-149.2484,21.9335,42.2902,1,2,5,,,
-149.2835,21.9203,42.3314,1,2,5,,,
-149.301,21.887,42.3704,1,2,5,,,
-149.3857,21.8785,42.4209,1,2,5,,,
-149.4241,21.8624,42.4326,1,2,5,,,
-149.4727,21.879,42.4527,1,2,5,,,
-149.576,21.9046,42.4938,1,2,5,,,
-149.6283,21.9601,42.5277,1,2,5,,,
-149.6542,22.0739,42.5958,1,2,5,,,
-149.6955,22.2524,42.7358,1,2,5,,,
-149.7079,22.3723,42.828,1,2,5,,,
-149.7433,22.4408,42.8686,1,2,5,,,
-149.7245,22.4357,42.848,1,2,5,,,
-149.7351,22.3675,42.806,1,2,5,,,
-149.7119,22.2918,42.7732,1,2,5,,,
-149.6917,22.1857,42.7135,1,2,5,,,
-149.6443,22.0855,42.6647,1,2,5,,,
-149.5947,22.0212,42.6272,1,2,5,,,
-149.6114,22.0143,42.6084,1,2,5,,,
-149.626,22.0093,42.5874,1,2,5,,,
-149.6519,21.952,42.5581,1,2,5,,,
-149.6435,21.9006,42.5451,1,2,5,,,
-149.6432,21.8897,42.5067,1,2,5,,,
-149.6374,21.8386,42.4575,1,2,5,,,
